Indicador,Atual,2023,2022,2021,2020,2019,ticker
PATRIMÔNIO / ATIVOS,-078,-087,-095,-103,-117,-134,HAGA4
PASSIVOS / ATIVOS,178,187,195,203,217,385,HAGA4
LIQUIDEZ CORRENTE,234,213,172,170,176,042,HAGA4
CAGR RECEITAS 5 ANOS,"4,45%","4,66%","2,91%","9,48%","0,11%","-8,08%",HAGA4
CAGR LUCROS 5 ANOS,"11,19%","-16,05%",-%,"19,66%","12,16%","-12,89%",HAGA4
P/L,014,020,-008,-051,-029,-056,ATMP3
P/RECEITA (PSR),009,039,005,007,007,028,ATMP3
P/VP,009,041,-011,045,037,-143,ATMP3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",ATMP3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",ATMP3
MARGEM LÍQUIDA,"65,56%","191,79%","-67,74%","-13,00%","-22,72%","-48,96%",ATMP3
MARGEM BRUTA,"17,92%","-12,72%","-11,09%","8,53%","1,81%","-17,07%",ATMP3
MARGEM EBIT,"-36,87%","-71,75%","-47,73%","-10,74%","-15,64%","-29,80%",ATMP3
MARGEM EBITDA,"-17,18%","-35,30%","-31,07%","-0,28%","-2,66%","-18,20%",ATMP3
EV/EBITDA,-342,-266,-158,-12902,-1284,-399,ATMP3
EV/EBIT,-159,-131,-103,-334,-218,-244,ATMP3
P/EBITDA,-053,-111,-016,-2386,-245,-151,ATMP3
P/EBIT,-024,-054,-011,-062,-042,-092,ATMP3
P/ATIVO,003,008,002,004,003,018,ATMP3
P/CAP.GIRO,-054,-210,-004,-013,-018,-102,ATMP3
P/ATIVO CIRC LIQ,-003,-011,-003,-005,-004,-022,ATMP3
VPA,1381,1086,-1123,579,626,-620,ATMP3
LPA,879,2209,-1704,-510,-804,-1581,ATMP3
GIRO ATIVOS,028,021,039,059,053,067,ATMP3
ROE,"63,65%","203,41%","-151,79%","-88,18%","-128,42%","-255,18%",ATMP3
ROIC,"-21,56%","-42,60%","-340,05%","-35,25%","-33,09%","-102,93%",ATMP3
ROA,"18,20%","40,84%","-26,67%","-7,72%","-12,05%","-32,62%",ATMP3
DÍVIDA LÍQUIDA / EBITDA,-289,-155,-141,-10515,-1040,-248,ATMP3
DÍVIDA LÍQUIDA / EBIT,-135,-076,-092,-272,-177,-151,ATMP3
DÍVIDA BRUTA / PATRIMÔNIO,066,079,-131,215,188,-270,ATMP3
PATRIMÔNIO / ATIVOS,029,020,-018,009,009,-013,ATMP3
PASSIVOS / ATIVOS,071,080,118,091,091,113,ATMP3
LIQUIDEZ CORRENTE,085,086,032,042,048,049,ATMP3
CAGR RECEITAS 5 ANOS,"-16,12%","-25,72%","-16,95%","-12,49%","-21,70%","-24,22%",ATMP3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,ATMP3
P/L,1735,6824,-889,-916,000,,NINJ3
P/RECEITA (PSR),379,408,247,419,000,,NINJ3
P/VP,079,090,051,091,000,,NINJ3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%",,NINJ3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%",,NINJ3
MARGEM LÍQUIDA,"21,86%","5,98%","-27,77%","-45,69%","-6,57%",,NINJ3
MARGEM BRUTA,"83,42%","89,39%","90,98%","91,83%","91,81%",,NINJ3
MARGEM EBIT,"-44,59%","-44,63%","-85,34%","-83,42%","-25,15%",,NINJ3
MARGEM EBITDA,"-36,29%","-39,30%","-83,42%","-39,32%","-25,02%",,NINJ3
EV/EBITDA,282,096,276,130,013,,NINJ3
EV/EBIT,229,084,270,061,013,,NINJ3
P/EBITDA,-1045,-1038,-296,-1065,000,,NINJ3
P/EBIT,-851,-914,-289,-502,000,,NINJ3
P/ATIVO,074,085,047,085,000,,NINJ3
P/CAP.GIRO,080,093,054,093,000,,NINJ3
P/ATIVO CIRC LIQ,-3021,-2364,-702,-4761,000,,NINJ3
VPA,577,551,548,564,-010,,NINJ3
LPA,026,007,-031,-056,-005,,NINJ3
GIRO ATIVOS,019,021,019,020,514,,NINJ3
ROE,"4,53%","1,32%","-5,68%","-9,95%","-53,14%",,NINJ3
ROIC,"-9,87%","-9,79%","-17,38%","-18,17%","203,31%",,NINJ3
ROA,"4,25%","1,24%","-5,31%","-13,37%","-10,92%",,NINJ3
DÍVIDA LÍQUIDA / EBITDA,1327,1134,572,1195,013,,NINJ3
DÍVIDA LÍQUIDA / EBIT,1080,998,560,563,013,,NINJ3
DÍVIDA BRUTA / PATRIMÔNIO,-,0003717,0004739,000,000,,NINJ3
PATRIMÔNIO / ATIVOS,094,094,094,094,-064,,NINJ3
PASSIVOS / ATIVOS,006,006,006,006,165,,NINJ3
LIQUIDEZ CORRENTE,1647,1770,1550,1513,055,,NINJ3
CAGR RECEITAS 5 ANOS,-,-%,-%,-%,-%,,NINJ3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,,NINJ3
P/L,4015,2703,3841,3860,6790,4505,WEGE3
P/RECEITA (PSR),685,477,541,587,910,545,WEGE3
P/VP,1240,893,1090,1017,1375,834,WEGE3
DIVIDEND YIELD (DY),"1,29%","1,67%","1,34%","1,28%","0,53%","0,98%",WEGE3
PAYOUT,"50,82%","42,58%","46,87%","49,50%","36,93%","45,75%",WEGE3
MARGEM LÍQUIDA,"17,06%","17,63%","14,07%","15,22%","13,40%","12,10%",WEGE3
MARGEM BRUTA,"33,82%","33,23%","29,08%","29,54%","31,13%","29,62%",WEGE3
MARGEM EBIT,"20,18%","19,88%","16,89%","17,65%","16,12%","13,84%",WEGE3
MARGEM EBITDA,"22,24%","21,81%","18,78%","19,86%","18,68%","16,74%",WEGE3
EV/EBITDA,3041,2125,2850,2928,4784,3206,WEGE3
EV/EBIT,3351,2332,3170,3295,5545,3877,WEGE3
P/EBITDA,3080,2185,2878,2959,4870,3256,WEGE3
P/EBIT,3394,2397,3200,3329,5644,3937,WEGE3
P/ATIVO,674,492,575,578,798,464,WEGE3
P/CAP.GIRO,2347,1498,1721,1726,2382,1380,WEGE3
P/ATIVO CIRC LIQ,-1947,-1560,-1906,-1733,-2156,-1227,WEGE3
VPA,470,413,353,324,551,415,WEGE3
LPA,145,137,100,085,112,077,WEGE3
GIRO ATIVOS,098,103,106,098,088,085,WEGE3
ROE,"30,89%","33,05%","28,37%","26,36%","20,24%","18,52%",WEGE3
ROIC,"25,99%","27,10%","23,01%","22,64%","18,61%","15,23%",WEGE3
ROA,"17,45%","18,63%","15,19%","15,28%","12,02%","10,41%",WEGE3
DÍVIDA LÍQUIDA / EBITDA,-039,-060,-027,-031,-086,-049,WEGE3
DÍVIDA LÍQUIDA / EBIT,-043,-066,-030,-034,-099,-060,WEGE3
DÍVIDA BRUTA / PATRIMÔNIO,015,016,023,013,015,026,WEGE3
PATRIMÔNIO / ATIVOS,054,055,053,057,058,056,WEGE3
PASSIVOS / ATIVOS,044,043,046,041,040,043,WEGE3
LIQUIDEZ CORRENTE,178,192,191,201,213,217,WEGE3
CAGR RECEITAS 5 ANOS,"21,76%","22,11%","25,71%","20,26%","12,35%","11,23%",WEGE3
CAGR LUCROS 5 ANOS,"31,17%","34,28%","30,22%","26,53%","15,50%","11,15%",WEGE3
P/L,-1459,-1267,-20312,-2694,34228,-463,DTCY3
P/RECEITA (PSR),916,791,569,877,496,433,DTCY3
P/VP,-975,-1253,"-1.391,39",36539,1627,1080,DTCY3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",DTCY3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",DTCY3
MARGEM LÍQUIDA,"-62,81%","-62,46%","-2,80%","-32,57%","1,45%","-93,40%",DTCY3
MARGEM BRUTA,"16,90%","-9,41%","23,26%","22,44%","30,06%","3,09%",DTCY3
MARGEM EBIT,"-52,60%","-53,41%","-9,38%","-50,00%","7,36%","-67,17%",DTCY3
MARGEM EBITDA,"270,20%","-21,56%","-6,85%","2,61%","32,73%","-41,54%",DTCY3
EV/EBITDA,690,-3607,-15546,52500,2364,-1006,DTCY3
EV/EBIT,-3543,-1456,-11359,-2740,10507,-622,DTCY3
P/EBITDA,339,-3670,-8307,33616,1515,-1042,DTCY3
P/EBIT,-1742,-1481,-6069,-1754,6733,-644,DTCY3
P/ATIVO,864,844,481,555,321,174,DTCY3
P/CAP.GIRO,-1459,-2761,-4869,-2183,-1598,-595,DTCY3
P/ATIVO CIRC LIQ,-1561,-1400,-819,-808,-438,-219,DTCY3
VPA,-045,-036,-000,002,045,042,DTCY3
LPA,-030,-036,-002,-028,002,-098,DTCY3
GIRO ATIVOS,094,107,085,063,065,040,DTCY3
ROE,"-66,83%","-98,95%","-685,00%","-1.356,52%","4,75%","-233,05%",DTCY3
ROIC,"107,80%","175,23%","-76,80%","-241,92%","15,37%","-104,13%",DTCY3
ROA,"-59,22%","-66,64%","-2,37%","-31,75%","0,94%","-37,64%",DTCY3
DÍVIDA LÍQUIDA / EBITDA,015,-086,-109,236,-012,-007,DTCY3
DÍVIDA LÍQUIDA / EBIT,-079,-035,-080,-012,-054,-004,DTCY3
DÍVIDA BRUTA / PATRIMÔNIO,-048,-052,-3085,761,057,061,DTCY3
PATRIMÔNIO / ATIVOS,-089,-067,-000,002,020,016,DTCY3
PASSIVOS / ATIVOS,189,167,100,099,080,084,DTCY3
LIQUIDEZ CORRENTE,043,057,081,055,057,041,DTCY3
CAGR RECEITAS 5 ANOS,"-14,51%","-18,43%","-9,84%","-8,47%","4,02%","-1,40%",DTCY3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,DTCY3
P/L,-572,,,-1969,-1645,-2613,TCNO3
P/RECEITA (PSR),-,,,-,-,-,TCNO3
P/VP,-700,,,-2155,28018,1312,TCNO3
DIVIDEND YIELD (DY),-,,,"0,00%","0,00%","0,00%",TCNO3
PAYOUT,-,,,"0,00%","0,00%","0,00%",TCNO3
MARGEM LÍQUIDA,-,,,"0,00%","0,00%","0,00%",TCNO3
MARGEM BRUTA,-,,,"0,00%","0,00%","0,00%",TCNO3
MARGEM EBIT,-,,,"0,00%","0,00%","0,00%",TCNO3
MARGEM EBITDA,-,,,"0,00%","0,00%","0,00%",TCNO3
EV/EBITDA,-,,,-,-,-,TCNO3
EV/EBIT,-4119,,,-1733,-1258,-552,TCNO3
P/EBITDA,-,,,-,-,-,TCNO3
P/EBIT,-572,,,-1969,-1645,-574,TCNO3
P/ATIVO,003,,,005,007,004,TCNO3
P/CAP.GIRO,-007,,,-012,-016,-010,TCNO3
P/ATIVO CIRC LIQ,-003,,,-006,-008,-005,TCNO3
VPA,-014,,,-009,0008423,011,TCNO3
LPA,-017,,,-010,-014,-006,TCNO3
GIRO ATIVOS,-,,,000,000,000,TCNO3
ROE,"-122,30%",,,"-109,43%","-1.703,60%","-50,21%",TCNO3
ROIC,"-3,52%",,,"109,43%","-1.703,60%","-228,59%",TCNO3
ROA,"-0,49%",,,"-0,27%","-0,40%","-0,16%",TCNO3
DÍVIDA LÍQUIDA / EBITDA,-,,,-,-,-,TCNO3
DÍVIDA LÍQUIDA / EBIT,-2923,,,000,000,000,TCNO3
DÍVIDA BRUTA / PATRIMÔNIO,-3576,,,000,000,000,TCNO3
PATRIMÔNIO / ATIVOS,-,,,-000,0000237,0003252,TCNO3
PASSIVOS / ATIVOS,100,,,100,100,100,TCNO3
LIQUIDEZ CORRENTE,028,,,029,029,029,TCNO3
CAGR RECEITAS 5 ANOS,"-100,00%",,,"-100,00%","-100,00%","-100,00%",TCNO3
CAGR LUCROS 5 ANOS,-,,,-%,-%,-%,TCNO3
P/L,-537,-366,867,1134,,,CBAV3
P/RECEITA (PSR),050,045,085,100,,,CBAV3
P/VP,097,074,148,187,,,CBAV3
DIVIDEND YIELD (DY),-,"6,78%","3,32%","0,00%",,,CBAV3
PAYOUT,"-31,05%","-24,81%","28,78%","0,00%",,,CBAV3
MARGEM LÍQUIDA,"-9,30%","-12,35%","9,83%","8,82%",,,CBAV3
MARGEM BRUTA,"9,60%","1,03%","18,69%","19,28%",,,CBAV3
MARGEM EBIT,"-3,35%","-12,06%","12,83%","16,07%",,,CBAV3
MARGEM EBITDA,"4,28%","-4,30%","18,95%","21,96%",,,CBAV3
EV/EBITDA,2121,-1896,558,529,,,CBAV3
EV/EBIT,-2709,-675,824,723,,,CBAV3
P/EBITDA,1167,-1052,450,455,,,CBAV3
P/EBIT,-1491,-375,664,622,,,CBAV3
P/ATIVO,029,024,061,070,,,CBAV3
P/CAP.GIRO,149,118,361,367,,,CBAV3
P/ATIVO CIRC LIQ,-044,-038,-094,-112,,,CBAV3
VPA,616,685,783,691,,,CBAV3
LPA,-111,-139,133,114,,,CBAV3
GIRO ATIVOS,058,054,072,070,,,CBAV3
ROE,"-18,07%","-20,36%","17,03%","16,51%",,,CBAV3
ROIC,"-5,92%","-11,93%","12,66%","16,11%",,,CBAV3
ROA,"-4,45%","-5,97%","9,32%","7,00%",,,CBAV3
DÍVIDA LÍQUIDA / EBITDA,953,-844,108,074,,,CBAV3
DÍVIDA LÍQUIDA / EBIT,-1218,-301,160,101,,,CBAV3
DÍVIDA BRUTA / PATRIMÔNIO,121,099,059,070,,,CBAV3
PATRIMÔNIO / ATIVOS,030,033,042,038,,,CBAV3
PASSIVOS / ATIVOS,068,065,058,061,,,CBAV3
LIQUIDEZ CORRENTE,231,236,195,206,,,CBAV3
CAGR RECEITAS 5 ANOS,-,-%,-%,-%,,,CBAV3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,,,CBAV3
P/L,1508,1240,323,414,762,000,TASA3
P/RECEITA (PSR),072,106,066,096,113,000,TASA3
P/VP,099,174,164,347,4754,000,TASA3
DIVIDEND YIELD (DY),"3,20%","9,33%","12,26%","0,00%","0,00%","0,00%",TASA3
PAYOUT,"48,88%","115,67%","39,56%","0,00%","0,00%","0,00%",TASA3
MARGEM LÍQUIDA,"4,80%","8,57%","20,47%","23,17%","14,87%","4,34%",TASA3
MARGEM BRUTA,"32,74%","35,42%","45,69%","48,09%","42,60%","34,08%",TASA3
MARGEM EBIT,"9,68%","12,27%","29,95%","35,53%","24,49%","10,57%",TASA3
MARGEM EBITDA,"12,26%","14,27%","31,23%","36,51%","26,60%","12,39%",TASA3
EV/EBITDA,807,880,235,363,582,994,TASA3
EV/EBIT,1022,1024,245,373,632,1164,TASA3
P/EBITDA,591,745,212,262,426,000,TASA3
P/EBIT,748,866,221,270,463,000,TASA3
P/ATIVO,051,088,074,125,138,000,TASA3
P/CAP.GIRO,273,480,358,781,565,000,TASA3
P/ATIVO CIRC LIQ,-114,-198,-208,-412,-379,000,TASA3
VPA,946,862,809,598,033,-241,TASA3
LPA,062,121,411,501,208,034,TASA3
GIRO ATIVOS,070,083,112,131,121,094,TASA3
ROE,"6,56%","13,99%","50,77%","83,89%","623,66%","-14,26%",TASA3
ROIC,"8,50%","10,04%","34,88%","48,93%","45,22%","18,68%",TASA3
ROA,"3,38%","7,09%","22,84%","30,33%","18,05%","4,07%",TASA3
DÍVIDA LÍQUIDA / EBITDA,228,128,023,069,162,606,TASA3
DÍVIDA LÍQUIDA / EBIT,289,148,024,071,176,710,TASA3
DÍVIDA BRUTA / PATRIMÔNIO,052,048,048,092,1813,-246,TASA3
PATRIMÔNIO / ATIVOS,052,051,045,036,003,-029,TASA3
PASSIVOS / ATIVOS,048,049,055,064,097,129,TASA3
LIQUIDEZ CORRENTE,151,149,147,130,162,110,TASA3
CAGR RECEITAS 5 ANOS,"10,36%","16,08%","26,48%","26,98%","16,57%","11,06%",TASA3
CAGR LUCROS 5 ANOS,"12,60%",-%,-%,-%,-%,-%,TASA3
P/L,733,906,623,780,850,932,SHUL4
P/RECEITA (PSR),103,131,080,088,115,085,SHUL4
P/VP,142,194,151,165,162,146,SHUL4
DIVIDEND YIELD (DY),"7,75%","4,14%","4,60%","2,22%","2,29%","2,62%",SHUL4
PAYOUT,"60,06%","19,26%","19,01%","23,10%","9,94%","19,47%",SHUL4
MARGEM LÍQUIDA,"14,00%","14,43%","12,90%","11,30%","13,49%","9,16%",SHUL4
MARGEM BRUTA,"25,81%","26,03%","25,96%","22,24%","22,96%","21,77%",SHUL4
MARGEM EBIT,"15,13%","15,80%","18,11%","14,10%","13,67%","9,09%",SHUL4
MARGEM EBITDA,"18,66%","19,09%","20,91%","17,15%","17,75%","12,98%",SHUL4
EV/EBITDA,1408,1499,1234,3380,731,535,SHUL4
EV/EBIT,1737,1812,1425,4110,949,765,SHUL4
P/EBITDA,550,685,385,514,646,657,SHUL4
P/EBIT,679,828,444,625,839,939,SHUL4
P/ATIVO,079,106,071,069,068,065,SHUL4
P/CAP.GIRO,173,247,171,159,184,175,SHUL4
P/ATIVO CIRC LIQ,-241,-305,-208,-199,-196,-168,SHUL4
VPA,392,363,312,508,831,694,SHUL4
LPA,076,078,076,108,159,109,SHUL4
GIRO ATIVOS,077,081,088,078,059,076,SHUL4
ROE,"19,43%","21,42%","24,22%","21,21%","19,10%","15,67%",SHUL4
ROIC,"12,59%","13,94%","17,84%","12,49%","7,62%","6,93%",SHUL4
ROA,"10,82%","11,68%","11,39%","8,84%","7,96%","6,95%",SHUL4
DÍVIDA LÍQUIDA / EBITDA,-058,-042,043,165,131,159,SHUL4
DÍVIDA LÍQUIDA / EBIT,-071,-050,049,200,170,227,SHUL4
DÍVIDA BRUTA / PATRIMÔNIO,046,053,075,102,093,086,SHUL4
PATRIMÔNIO / ATIVOS,056,055,047,042,042,044,SHUL4
PASSIVOS / ATIVOS,044,045,053,058,058,056,SHUL4
LIQUIDEZ CORRENTE,318,292,271,296,228,251,SHUL4
CAGR RECEITAS 5 ANOS,"12,87%","15,26%","19,44%","24,09%","10,16%","7,65%",SHUL4
CAGR LUCROS 5 ANOS,"22,85%","31,67%","46,42%","44,45%","24,14%","12,43%",SHUL4
P/L,693,725,563,576,588,727,ROMI3
P/RECEITA (PSR),074,097,076,085,106,123,ROMI3
P/VP,071,102,111,122,126,125,ROMI3
DIVIDEND YIELD (DY),"8,65%","7,28%","5,94%","4,32%","17,14%","7,47%",ROMI3
PAYOUT,"58,63%","62,40%","30,49%","53,98%","81,78%","40,24%",ROMI3
MARGEM LÍQUIDA,"10,64%","13,37%","13,50%","14,73%","17,93%","16,94%",ROMI3
MARGEM BRUTA,"28,89%","29,95%","31,96%","32,29%","30,71%","27,26%",ROMI3
MARGEM EBIT,"10,13%","14,11%","17,03%","15,29%","10,98%","13,65%",ROMI3
MARGEM EBITDA,"15,14%","18,68%","20,22%","18,35%","14,77%","18,03%",ROMI3
EV/EBITDA,768,725,522,623,863,829,ROMI3
EV/EBIT,1148,959,620,747,1161,1095,ROMI3
P/EBITDA,487,519,376,462,714,683,ROMI3
P/EBIT,728,687,446,555,961,902,ROMI3
P/ATIVO,035,052,054,060,059,069,ROMI3
P/CAP.GIRO,120,154,153,200,213,172,ROMI3
P/ATIVO CIRC LIQ,-089,-135,-141,-148,-151,-155,ROMI3
VPA,1288,1318,1355,1314,1109,1205,ROMI3
LPA,132,185,267,278,238,206,ROMI3
GIRO ATIVOS,048,054,071,071,056,056,ROMI3
ROE,"10,25%","14,03%","19,67%","21,15%","21,46%","17,12%",ROMI3
ROIC,"5,83%","7,90%","11,48%","13,10%","7,51%","6,17%",ROMI3
ROA,"5,16%","7,21%","9,63%","10,45%","10,00%","9,50%",ROMI3
DÍVIDA LÍQUIDA / EBITDA,281,205,146,160,149,146,ROMI3
DÍVIDA LÍQUIDA / EBIT,420,272,173,193,200,192,ROMI3
DÍVIDA BRUTA / PATRIMÔNIO,061,067,066,060,066,046,ROMI3
PATRIMÔNIO / ATIVOS,050,051,049,049,047,055,ROMI3
PASSIVOS / ATIVOS,050,049,051,051,053,031,ROMI3
LIQUIDEZ CORRENTE,196,223,232,202,182,357,ROMI3
CAGR RECEITAS 5 ANOS,"8,58%","10,54%","18,80%","18,71%","9,91%","3,37%",ROMI3
CAGR LUCROS 5 ANOS,"-0,92%","14,33%","41,61%",-%,"88,45%","76,10%",ROMI3
P/L,713,801,473,758,1682,2348,KEPL3
P/RECEITA (PSR),105,130,100,096,170,151,KEPL3
P/VP,229,270,303,254,220,189,KEPL3
DIVIDEND YIELD (DY),"8,74%","7,86%","9,91%","4,28%","1,44%","1,18%",KEPL3
PAYOUT,"62,47%","94,84%","46,89%","32,42%","24,21%","27,81%",KEPL3
MARGEM LÍQUIDA,"14,72%","16,22%","21,07%","12,61%","10,08%","6,44%",KEPL3
MARGEM BRUTA,"30,43%","29,68%","36,48%","27,03%","24,21%","24,89%",KEPL3
MARGEM EBIT,"19,70%","19,96%","28,54%","16,71%","11,98%","8,99%",KEPL3
MARGEM EBITDA,"22,06%","22,27%","22,92%","19,26%","16,20%","11,94%",KEPL3
EV/EBITDA,437,536,395,465,804,1215,KEPL3
EV/EBIT,490,598,317,536,1087,1613,KEPL3
P/EBITDA,476,583,435,496,1047,1267,KEPL3
P/EBIT,533,651,349,572,1415,1682,KEPL3
P/ATIVO,112,134,142,115,120,130,KEPL3
P/CAP.GIRO,302,525,535,910,741,586,KEPL3
P/ATIVO CIRC LIQ,-366,-401,-501,-296,-285,-237,KEPL3
VPA,420,404,665,1541,1728,1560,KEPL3
LPA,135,136,426,516,226,125,KEPL3
GIRO ATIVOS,106,103,143,120,071,086,KEPL3
ROE,"32,18%","33,77%","64,04%","33,50%","13,07%","8,04%",KEPL3
ROIC,"22,67%","26,14%","49,59%","29,41%","11,01%","8,33%",KEPL3
ROA,"15,66%","16,67%","30,03%","15,18%","7,13%","5,56%",KEPL3
DÍVIDA LÍQUIDA / EBITDA,-038,-047,-040,-032,-243,-052,KEPL3
DÍVIDA LÍQUIDA / EBIT,-043,-053,-032,-036,-329,-069,KEPL3
DÍVIDA BRUTA / PATRIMÔNIO,042,027,029,012,003,009,KEPL3
PATRIMÔNIO / ATIVOS,049,049,047,045,055,069,KEPL3
PASSIVOS / ATIVOS,051,051,053,055,045,028,KEPL3
LIQUIDEZ CORRENTE,214,162,159,126,139,198,KEPL3
CAGR RECEITAS 5 ANOS,"23,10%","21,28%","25,70%","20,87%","-1,00%","-8,42%",KEPL3
CAGR LUCROS 5 ANOS,"45,24%","96,93%",-%,-%,"61,08%","-22,30%",KEPL3
P/L,-389,-1049,-1514,13395,10974,000,AERI3
P/RECEITA (PSR),034,039,057,373,563,000,AERI3
P/VP,052,098,159,927,1286,000,AERI3
DIVIDEND YIELD (DY),-,"0,00%","1,83%","0,00%","0,00%","0,00%",AERI3
PAYOUT,-,"0,00%","-27,74%","0,00%","0,00%","0,00%",AERI3
MARGEM LÍQUIDA,"-8,79%","-3,76%","-3,75%","2,78%","5,13%","10,64%",AERI3
MARGEM BRUTA,"15,06%","13,74%","11,93%","11,54%","11,13%","17,76%",AERI3
MARGEM EBIT,"6,81%","9,34%","8,64%","8,36%","9,30%","16,23%",AERI3
MARGEM EBITDA,"13,04%","11,54%","10,81%","9,69%","10,37%","17,77%",AERI3
EV/EBITDA,542,536,809,4082,5624,254,AERI3
EV/EBIT,1038,662,1012,4730,6270,278,AERI3
P/EBITDA,262,342,526,3847,5424,000,AERI3
P/EBIT,502,423,658,4458,6047,000,AERI3
P/ATIVO,015,028,037,300,524,000,AERI3
P/CAP.GIRO,131,109,111,726,1713,000,AERI3
P/ATIVO CIRC LIQ,-041,-087,-119,-841,-1768,000,AERI3
VPA,1670,092,071,080,078,014,AERI3
LPA,-221,-009,-007,006,009,007,AERI3
GIRO ATIVOS,044,071,065,081,093,104,AERI3
ROE,"-13,26%","-9,36%","-10,48%","6,92%","11,72%","50,94%",AERI3
ROIC,"3,25%","8,80%","7,30%","8,06%","9,41%","21,89%",AERI3
ROA,"-3,84%","-2,65%","-2,46%","2,24%","4,78%","11,06%",AERI3
DÍVIDA LÍQUIDA / EBITDA,280,193,283,235,200,254,AERI3
DÍVIDA LÍQUIDA / EBIT,536,239,354,272,223,278,AERI3
DÍVIDA BRUTA / PATRIMÔNIO,140,149,205,146,118,216,AERI3
PATRIMÔNIO / ATIVOS,029,028,023,032,041,022,AERI3
PASSIVOS / ATIVOS,071,072,077,068,059,078,AERI3
LIQUIDEZ CORRENTE,122,161,195,280,177,119,AERI3
CAGR RECEITAS 5 ANOS,"13,41%",-%,-%,-%,-%,-%,AERI3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,AERI3
P/L,646,489,443,702,491,1146,MTSA4
P/RECEITA (PSR),061,075,051,064,076,071,MTSA4
P/VP,064,096,106,118,101,085,MTSA4
DIVIDEND YIELD (DY),"3,97%","7,13%","5,70%","5,32%","2,37%","3,41%",MTSA4
PAYOUT,"18,76%","38,67%","16,12%","28,75%","11,10%","37,17%",MTSA4
MARGEM LÍQUIDA,"9,39%","15,24%","11,49%","9,14%","15,56%","6,24%",MTSA4
MARGEM BRUTA,"21,73%","27,30%","30,33%","27,99%","30,21%","22,22%",MTSA4
MARGEM EBIT,"8,92%","14,37%","15,31%","13,13%","19,11%","5,97%",MTSA4
MARGEM EBITDA,"11,64%","16,55%","16,58%","14,73%","21,38%","9,72%",MTSA4
EV/EBITDA,590,439,347,540,087,201,MTSA4
EV/EBIT,769,506,376,606,097,327,MTSA4
P/EBITDA,522,450,307,435,357,736,MTSA4
P/EBIT,680,519,333,489,400,1197,MTSA4
P/ATIVO,050,078,077,080,079,067,MTSA4
P/CAP.GIRO,085,129,143,167,140,099,MTSA4
P/ATIVO CIRC LIQ,-230,-346,-360,-367,-307,-230,MTSA4
VPA,5217,5051,4360,3594,3174,2748,MTSA4
LPA,515,993,1044,605,651,205,MTSA4
GIRO ATIVOS,082,104,151,124,103,094,MTSA4
ROE,"9,87%","19,66%","23,95%","16,83%","20,51%","7,46%",MTSA4
ROIC,"3,58%","12,49%","19,12%","13,82%","14,61%","4,06%",MTSA4
ROA,"7,72%","15,86%","17,31%","11,37%","16,06%","5,83%",MTSA4
DÍVIDA LÍQUIDA / EBITDA,-267,-144,-031,003,-099,-182,MTSA4
DÍVIDA LÍQUIDA / EBIT,-349,-166,-034,004,-111,-296,MTSA4
DÍVIDA BRUTA / PATRIMÔNIO,008,006,013,024,008,016,MTSA4
PATRIMÔNIO / ATIVOS,078,081,072,068,078,078,MTSA4
PASSIVOS / ATIVOS,022,019,028,032,022,006,MTSA4
LIQUIDEZ CORRENTE,393,443,315,258,409,2270,MTSA4
CAGR RECEITAS 5 ANOS,"10,79%","16,17%","27,16%","21,69%","10,62%","4,06%",MTSA4
CAGR LUCROS 5 ANOS,"20,23%","39,83%","47,49%","31,66%","28,09%","-2,01%",MTSA4
P/L,4586,-18562,-093,-504,-260,1760,FRIO3
P/RECEITA (PSR),042,077,010,016,027,026,FRIO3
P/VP,259,-364,-075,-173,-605,676,FRIO3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",FRIO3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",FRIO3
MARGEM LÍQUIDA,"0,91%","-0,41%","-10,49%","-3,08%","-10,53%","1,47%",FRIO3
MARGEM BRUTA,"17,53%","17,30%","15,89%","17,15%","17,45%","16,81%",FRIO3
MARGEM EBIT,"6,49%","6,68%","6,64%","7,98%","5,03%","8,71%",FRIO3
MARGEM EBITDA,"9,71%","9,59%","9,40%","11,25%","9,05%","11,77%",FRIO3
EV/EBITDA,727,1500,798,584,795,503,FRIO3
EV/EBIT,1087,2155,1129,823,1432,680,FRIO3
P/EBITDA,430,800,104,138,303,220,FRIO3
P/EBIT,643,1149,147,195,545,297,FRIO3
P/ATIVO,048,084,012,016,023,024,FRIO3
P/CAP.GIRO,535,-257,-035,-110,200,-039,FRIO3
P/ATIVO CIRC LIQ,-149,-278,-040,-053,-073,-025,FRIO3
